,dia 1,dia 2,dia 3,dia 4,dia 5,dia 6,dia 7,dia 8,dia 9,dia 10,dia 11,dia 12,dia 13,dia 14,dia 15,global
RMSE,2.1106,2.6147,3.0091,3.4669,3.8818,4.3483,4.7856,5.3104,5.7616,6.1304,6.4505,6.807,7.1532,7.5125,7.7908,5.4435
R2,0.9932,0.9897,0.9863,0.9819,0.9774,0.9717,0.9657,0.9579,0.9506,0.9441,0.9383,0.9314,0.9244,0.9168,0.9107,0.9558
MAE,1.7408,2.0508,2.2327,2.5589,2.8551,3.1556,3.5255,3.9955,4.3597,4.622,4.8265,5.1869,5.494,5.6816,5.9308,3.8811
MSE,4.4548,6.8367,9.0545,12.0197,15.0683,18.9076,22.9021,28.2002,33.1956,37.5815,41.6093,46.3349,51.1676,56.4376,60.697,29.6312
