,dia 1,dia 2,dia 3,dia 4,dia 5,dia 6,dia 7,dia 8,dia 9,dia 10,dia 11,dia 12,dia 13,dia 14,dia 15,global
RMSE,0.6251,0.8208,1.1573,1.4339,1.6731,1.9493,2.183,2.4047,2.612,2.8882,3.1169,3.3686,3.6057,3.9141,4.0985,2.6198
R2,0.9989,0.9982,0.9963,0.9944,0.9923,0.9896,0.9869,0.9841,0.9813,0.9771,0.9733,0.9688,0.9642,0.9578,0.9537,0.9812
MAE,0.4461,0.5033,0.6565,0.8704,0.9538,1.1234,1.2615,1.3983,1.5061,1.7248,1.8928,2.0739,2.2499,2.4936,2.6003,1.4503
MSE,0.3907,0.6738,1.3392,2.0562,2.7992,3.7998,4.7653,5.7825,6.8223,8.3418,9.715,11.3477,13.0013,15.3202,16.7979,6.8635
