,dia 1,dia 2,dia 3,dia 4,dia 5,dia 6,dia 7,dia 8,dia 9,dia 10,dia 11,dia 12,dia 13,dia 14,dia 15,global
RMSE,0.5725,0.9357,1.2738,1.5882,1.8812,2.16,2.4239,2.6832,2.9401,3.1927,3.4365,3.6714,3.8986,4.1267,4.3563,2.8514
R2,0.9987,0.9965,0.9936,0.99,0.986,0.9815,0.9767,0.9714,0.9656,0.9595,0.953,0.9463,0.9395,0.9321,0.9243,0.9677
MAE,0.2885,0.4516,0.6189,0.7883,0.9545,1.1229,1.29,1.4681,1.6519,1.8409,2.0169,2.193,2.3705,2.5484,2.7258,1.4887
MSE,0.3277,0.8755,1.6226,2.5225,3.5389,4.6654,5.8752,7.1997,8.6444,10.1932,11.8099,13.479,15.1992,17.0294,18.9773,8.1307
