,dia 1,dia 2,dia 3,dia 4,dia 5,dia 6,dia 7,dia 8,dia 9,dia 10,dia 11,dia 12,dia 13,dia 14,dia 15,global
RMSE,0.8579,1.0369,1.162,1.4487,1.7021,1.9051,2.1827,2.4251,2.702,2.867,3.2428,3.3375,3.5553,3.7207,4.033,2.6122
R2,0.9978,0.9968,0.996,0.9937,0.9913,0.9891,0.9857,0.9823,0.978,0.9752,0.9683,0.9664,0.9618,0.9582,0.9508,0.9795
MAE,0.6686,0.776,0.792,0.9794,1.1046,1.2228,1.4316,1.5941,1.768,1.8645,2.2209,2.2243,2.3916,2.4489,2.7339,1.6148
MSE,0.736,1.0752,1.3502,2.0988,2.8971,3.6294,4.7643,5.881,7.301,8.2197,10.5156,11.1388,12.6401,13.8438,16.2654,6.8238
