,dia 1,dia 2,dia 3,dia 4,dia 5,dia 6,dia 7,dia 8,dia 9,dia 10,dia 11,dia 12,dia 13,dia 14,dia 15,global
RMSE,1.3564,2.2223,3.0086,3.7254,4.3847,4.996,5.5807,6.1461,6.6798,7.1685,7.6163,8.0259,8.4048,8.768,9.1335,6.2832
R2,0.9972,0.9925,0.9862,0.9788,0.9706,0.9619,0.9524,0.9422,0.9317,0.9213,0.9111,0.9012,0.8915,0.8818,0.8716,0.9396
MAE,0.9495,1.5281,2.0698,2.5643,3.0334,3.4765,3.915,4.3522,4.7838,5.1829,5.5517,5.9014,6.2445,6.5881,6.9229,4.2043
MSE,1.8397,4.9386,9.0519,13.8787,19.2258,24.96,31.1443,37.7751,44.6194,51.3876,58.0077,64.4151,70.6409,76.8786,83.4217,39.479
