,dia 1,dia 2,dia 3,dia 4,dia 5,dia 6,dia 7,dia 8,dia 9,dia 10,dia 11,dia 12,dia 13,dia 14,dia 15,global
RMSE,1.0061,1.8647,2.6064,3.2766,3.8917,4.4469,4.9915,5.5041,5.9787,6.4279,6.8635,7.2647,7.6309,7.9762,8.3699,5.6627
R2,0.9986,0.9953,0.9908,0.9855,0.9795,0.9733,0.9664,0.9592,0.9519,0.9445,0.9368,0.9293,0.9221,0.915,0.9065,0.9568
MAE,0.7099,1.2746,1.807,2.2898,2.6945,3.0478,3.4554,3.8694,4.27,4.6582,5.0181,5.3547,5.6737,5.9978,6.3386,3.764
MSE,1.0123,3.4772,6.7933,10.7362,15.1452,19.775,24.9146,30.2946,35.7446,41.3181,47.1079,52.7756,58.2302,63.6195,70.0551,32.0666
