,dia 1,dia 2,dia 3,dia 4,dia 5,dia 6,dia 7,dia 8,dia 9,dia 10,dia 11,dia 12,dia 13,dia 14,dia 15,global
RMSE,1.8294,2.5047,3.1504,3.7564,4.3336,4.8714,5.3788,5.8572,6.2978,6.7029,7.0918,7.4662,7.8335,8.1995,8.5605,5.9549
R2,0.9949,0.9905,0.985,0.9787,0.9718,0.9644,0.9567,0.9487,0.9409,0.9331,0.9253,0.9174,0.9092,0.9008,0.8921,0.947
MAE,1.4366,1.9158,2.3686,2.8107,3.2557,3.6698,4.0736,4.4825,4.8623,5.2206,5.5477,5.8406,6.1279,6.4321,6.7438,4.3192
MSE,3.3467,6.2735,9.9253,14.1104,18.78,23.7304,28.9317,34.3071,39.6626,44.9295,50.2934,55.7448,61.3643,67.2312,73.2816,35.4608
