,dia 1,dia 2,dia 3,dia 4,dia 5,dia 6,dia 7,dia 8,dia 9,dia 10,dia 11,dia 12,dia 13,dia 14,dia 15,global
RMSE,0.6169,0.8381,1.1413,1.4403,1.7248,1.963,2.2343,2.4777,2.7224,2.9468,3.1735,3.431,3.6359,3.9075,4.1279,2.6569
R2,0.999,0.9981,0.9964,0.9943,0.9918,0.9894,0.9863,0.9832,0.9797,0.9761,0.9723,0.9676,0.9636,0.958,0.9531,0.9806
MAE,0.4458,0.4686,0.6398,0.8215,1.0096,1.1825,1.4264,1.5726,1.7321,1.9691,2.1232,2.3887,2.5072,2.6741,2.8958,1.5905
MSE,0.3806,0.7024,1.3027,2.0746,2.9749,3.8534,4.992,6.1389,7.4113,8.6836,10.0711,11.7719,13.2195,15.2682,17.0395,7.059
