,dia 1,dia 2,dia 3,dia 4,dia 5,dia 6,dia 7,dia 8,dia 9,dia 10,dia 11,dia 12,dia 13,dia 14,dia 15,global
RMSE,0.5905,0.7782,0.9806,1.2352,1.4997,1.7592,2.0058,2.2758,2.538,2.7875,3.0293,3.2551,3.5102,3.7515,4.0029,2.5085
R2,0.999,0.9982,0.9971,0.9954,0.9932,0.9907,0.9879,0.9844,0.9806,0.9766,0.9723,0.968,0.9628,0.9575,0.9515,0.9811
MAE,0.4224,0.5188,0.606,0.7309,0.8672,1.024,1.1619,1.3155,1.4749,1.6335,1.7984,1.9398,2.1035,2.2523,2.4098,1.3506
MSE,0.3487,0.6056,0.9615,1.5257,2.2492,3.0948,4.0232,5.1793,6.4413,7.77,9.1765,10.5959,12.3213,14.0741,16.0235,6.2927
