,dia 1,dia 2,dia 3,dia 4,dia 5,dia 6,dia 7,dia 8,dia 9,dia 10,dia 11,dia 12,dia 13,dia 14,dia 15,global
RMSE,1.1799,1.8745,2.4974,3.104,3.6798,4.2082,4.6896,5.1754,5.6314,6.0636,6.4412,6.7743,7.0825,7.3995,7.6907,5.2961
R2,0.9979,0.9947,0.9906,0.9855,0.9797,0.9734,0.9671,0.96,0.9528,0.9453,0.9385,0.9321,0.9259,0.9193,0.913,0.9581
MAE,0.9175,1.4004,1.8297,2.2379,2.649,3.0336,3.4036,3.7933,4.1471,4.4849,4.763,4.9934,5.2433,5.4967,5.7391,3.6088
MSE,1.3922,3.5138,6.2368,9.6351,13.541,17.7087,21.9919,26.7843,31.7123,36.7678,41.4896,45.8913,50.1624,54.7528,59.1472,28.0485
